,verse ref,verse id,family 1,family 2,ms 1,ms 2,transription 1,transription 2,normalized transription 1,normalized transription 2,length 1,length 2,length min,length max,length average,levenshtein,damerau_levenshtein,ratcliff_obershelp,jaro,nw_matches,nw_mismatches,nw_gaps,nw_gap_extensions
0,Mark 6:14,24490,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),وسمع هروذس الملك لان اسمه كان قد ظهر فقال ان يحنا المصبغ قام من الموتا ولذلك القوات تعمل به ❊,وسمع هروذس الملك لان اسمه كان قد ظهر فقال ان يحنا المصبغ قام من الموتا فلذلك القوات تعمل به ⦿,وسمع هروذس الملك لان اسمه كان قد ظهر فقال ان يحنا المصبغ قام من الموتا ولذلك القوات تعمل به,وسمع هروذس الملك لان اسمه كان قد ظهر فقال ان يحنا المصبغ قام من الموتا فلذلك القوات تعمل به,91,91,91,91,91.0,98.9010989010989,98.9010989010989,98.9010989010989,97.60073260073261,90,1,0,0
1,Mark 6:15,24491,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),اخرين قالوا هو ايلياس ❊ واخرين قالوا انه نبى كواحد من الانبيا ❊,واخرين قالوا انه هو يلياس ⦿ واخرين قالوا انه نبي كواحد من الانبيا ⦿,اخرين قالوا هو ايلياس واخرين قالوا انه نبا كواحد من الانبيا,واخرين قالوا انه هو يلياس واخرين قالوا انه نبا كواحد من الانبيا,59,63,59,63,61.0,90.47619047619048,90.47619047619048,95.08196721311475,82.34687471975607,58,0,3,3
2,Mark 6:16,24492,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),فلما سمع هروذس قال يحنا الذى انا قطعت راسه هو قام من الموتا,فلما سمع هروذس قال يحنا الذي انا قطعت راسه هو قام من الموتا ⦿,فلما سمع هروذس قال يحنا الذا انا قطعت راسه هو قام من الموتا,فلما سمع هروذس قال يحنا الذا انا قطعت راسه هو قام من الموتا,59,59,59,59,59.0,100.0,100.0,100.0,100.0,59,0,0,0
3,Mark 6:17,24493,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),لان هروذس هو كان بعث فاخذ يحنا واوثقه فى الحبس من اجل هروذياس مره فيلبس اخوه لانه تزوجها ❊,لان هروذس هو كان بعث فاخذ يحنا واوثقه في الحبس منجل هروذياس مره فيلبس اخيه لانه تزوجها ⦿,لان هروذس هو كان بعث فاخذ يحنا واوثقه فا الحبس من اجل هروذياس مره فيلبس اخوه لانه تزوجها,لان هروذس هو كان بعث فاخذ يحنا واوثقه فا الحبس منجل هروذياس مره فيلبس اخيه لانه تزوجها,88,86,86,88,87.0,96.5909090909091,96.5909090909091,97.70114942528735,91.41721593499979,85,1,1,1
4,Mark 6:18,24494,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),لان يحنا كان يقول لهروذس بانه لا يحل لك ان تتخذ مره اخيك ❊,لان يحنا كان يقول لهروذس انه ليس يحل لك ان تتخذ مره اخيك,لان يحنا كان يقول لهروذس بانه لا يحل لك ان تتخذ مره اخيك,لان يحنا كان يقول لهروذس انه ليس يحل لك ان تتخذ مره اخيك,56,56,56,56,56.0,94.64285714285714,94.64285714285714,96.42857142857143,96.07583774250442,54,1,2,0
5,Mark 6:19,24495,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),وان هروذياس حقدت عليه وكانت تريد قتله فلم تستطيع,وان هروذياس حقدت عليه وكانت تريد قتله فلم تستطيع,وان هروذياس حقدت عليه وكانت تريد قتله فلم تستطيع,وان هروذياس حقدت عليه وكانت تريد قتله فلم تستطيع,48,48,48,48,48.0,100.0,100.0,100.0,100.0,48,0,0,0
6,Mark 6:20,24496,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),لان هروذس كان يخاف يحنا لانه كان يعلم انه رجل صديق قديس ❊ وكان يحفظه ويسمع منه ويقبل كثير وباستلذاذ كان يسمع منه ❊,لان هروذس كان يخاف يحنا لانه كان يعلم انه رجل صديق قديس وكان يحفظه ويسمع منه ويقبل كثير وكان باستلذاذ يسمع منه ⦿,لان هروذس كان يخاف يحنا لانه كان يعلم انه رجل صديق قديس وكان يحفظه ويسمع منه ويقبل كثير وباستلذاذ كان يسمع منه,لان هروذس كان يخاف يحنا لانه كان يعلم انه رجل صديق قديس وكان يحفظه ويسمع منه ويقبل كثير وكان باستلذاذ يسمع منه,110,110,110,110,110.0,92.72727272727272,92.72727272727272,96.36363636363636,98.48484848484848,106,0,2,6
7,Luke 15:11,25668,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),وانه قال انسان كان له ابنين,وانه قال انسان كان له ابنين اثنين,وانه قال انسان كان له ابنين,وانه قال انسان كان له ابنين اثنين,27,33,27,33,30.0,81.81818181818183,81.81818181818183,90.0,93.93939393939394,27,0,1,5
8,Luke 15:12,25669,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),فقال الشاب منهم لابيه اعطينى ما يصير لى من قسم الغنا فقسم له ماله ❊,فقال الشاب منهم للاب يابتاه اعطيني ما يصير لي من قسم الغنا فقسم لهم العمر,فقال الشاب منهم لابيه اعطينا ما يصير لا من قسم الغنا فقسم له ماله,فقال الشاب منهم للاب يابتاه اعطينا ما يصير لا من قسم الغنا فقسم لهم العمر,65,73,65,73,69.0,84.93150684931507,86.3013698630137,91.30434782608695,83.91925711275027,62,3,4,4
9,Luke 15:13,25670,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),وبعد ايام قلايل جمع كل شى الابن الشاب وسافر الى بلده بعيده وهناك بذر ماله يعيش شاطر ❊,وبعد ايام قليله جمع كل شي الابن الشاب وسافر الي بلده بعيده وهناك بذر ماله عابس شاطرا ⦿,وبعد ايام قلايل جمع كل شا الابن الشاب وسافر الا بلده بعيده وهناك بذر ماله يعيش شاطر,وبعد ايام قليله جمع كل شا الابن الشاب وسافر الا بلده بعيده وهناك بذر ماله عابس شاطرا,83,84,83,84,83.5,91.66666666666666,91.66666666666666,94.61077844311377,92.83287913558996,78,4,3,0
