,verse ref,verse id,family 1,family 2,ms 1,ms 2,transription 1,transription 2,normalized transription 1,normalized transription 2,length 1,length 2,length min,length max,length average,levenshtein,damerau_levenshtein,ratcliff_obershelp,jaro,nw_matches,nw_mismatches,nw_gaps,nw_gap_extensions
0,John 18:26,26880,A,B,Arbache - Sinai ar. 72,Codex Sinaiticus Arabicus,فقال له واحد من عبيد راس الكهنه نسيب للذي قطع بطرس اذنه اليس انا رايتك فى البستان معه ❊,فقال واحد من عبيد راس الكهنه كان يناسب ذلك الذى قطع بطرس اذنه فقال لبطرس اليس انا رايتك معه فى البستان,فقال له واحد من عبيد راس الكهنه نسيب للذا قطع بطرس اذنه اليس انا رايتك فا البستان معه,فقال واحد من عبيد راس الكهنه كان يناسب ذلك الذا قطع بطرس اذنه فقال لبطرس اليس انا رايتك معه فا البستان,85,102,85,102,93.5,68.62745098039215,68.62745098039215,82.35294117647058,79.43977591036415,0,0,0,0
1,John 18:27,26881,A,B,Arbache - Sinai ar. 72,Codex Sinaiticus Arabicus,فكفر بطرس ايضا وسوا صاح الديك,فكفر ايضا بطرس ومكانه صاح الديك ᐥ,فكفر بطرس ايضا وسوا صاح الديك,فكفر ايضا بطرس ومكانه صاح الديك,29,31,29,31,30.0,61.29032258064516,61.29032258064516,73.33333333333334,81.67167909474176,0,0,0,0
2,John 6:34,26360,A,B,Arbache - Sinai ar. 72,Codex Sinaiticus Arabicus,قالوا له يا رب اعطنا هذا الخبز فى كل حين,فقالوا له يا رب اعطينا فى كل حين هذا الخبز,قالوا له يا رب اعطنا هذا الخبز فا كل حين,فقالوا له يا رب اعطينا فا كل حين هذا الخبز,40,42,40,42,41.0,61.904761904761905,61.904761904761905,73.17073170731707,90.49603174603176,0,0,0,0
3,John 6:35,26361,A,B,Arbache - Sinai ar. 72,Codex Sinaiticus Arabicus,قال لهم يسوع انا هو خبز الحياه والذى ياتى الي لا يجوع والذى يومن بي لا يعطش ابدا,فقال لهم يسوع انا خبز الحياه ان الذى ياتي الى لا يجوع والذى يومن بي لا يعطش ابدا,قال لهم يسوع انا هو خبز الحياه والذا ياتا الا لا يجوع والذا يومن با لا يعطش ابدا,فقال لهم يسوع انا خبز الحياه ان الذا ياتا الا لا يجوع والذا يومن با لا يعطش ابدا,80,80,80,80,80.0,91.25,91.25,95.0,87.54329004329003,0,0,0,0
4,Mark 6:14,24490,A,B,Arbache - Sinai ar. 72,Codex Sinaiticus Arabicus,وسمع هروذس الملك لان اسمه كان قد ظهر فقال ان يحنا المصبغ قام من الموتا ولذلك القوات تعمل به ❊,وسمع هرودس لان اسمه صار علانيه فقال ان يحنا قام من بين الموتا منجل ذلك القوات يعملن فيه,وسمع هروذس الملك لان اسمه كان قد ظهر فقال ان يحنا المصبغ قام من الموتا ولذلك القوات تعمل به,وسمع هرودس لان اسمه صار علانيه فقال ان يحنا قام من بين الموتا منجل ذلك القوات يعملن فيه,91,87,87,91,89.0,63.73626373626373,63.73626373626373,75.28089887640449,77.8369140438106,0,0,0,0
5,Mark 6:15,24491,A,B,Arbache - Sinai ar. 72,Codex Sinaiticus Arabicus,اخرين قالوا هو ايلياس ❊ واخرين قالوا انه نبى كواحد من الانبيا ❊,اخرين قالوا انه ايليا ᐥ اخرين قالوا بانه نبي مثل احد الانبيا,اخرين قالوا هو ايلياس واخرين قالوا انه نبا كواحد من الانبيا,اخرين قالوا انه ايليا اخرين قالوا بانه نبا مثل احد الانبيا,59,58,58,59,58.5,77.96610169491525,77.96610169491525,52.991452991452995,82.53061165587954,0,0,0,0
6,Mark 6:16,24492,A,B,Arbache - Sinai ar. 72,Codex Sinaiticus Arabicus,فلما سمع هروذس قال يحنا الذى انا قطعت راسه هو قام من الموتا,فسمع هرودس فقال ان يحنا الذى قطعت راسه هو الذى قام من بين الموتا ᐥ,فلما سمع هروذس قال يحنا الذا انا قطعت راسه هو قام من الموتا,فسمع هرودس فقال ان يحنا الذا قطعت راسه هو الذا قام من بين الموتا,59,64,59,64,61.5,65.625,65.625,81.30081300813008,85.39048801870251,0,0,0,0
7,Mark 6:17,24493,A,B,Arbache - Sinai ar. 72,Codex Sinaiticus Arabicus,لان هروذس هو كان بعث فاخذ يحنا واوثقه فى الحبس من اجل هروذياس مره فيلبس اخوه لانه تزوجها ❊,وان هرودس هو الذى ارسل فامسك يحنا فربطه وطرحه فى السجن منجل هروديا مره اخيه فليبس,لان هروذس هو كان بعث فاخذ يحنا واوثقه فا الحبس من اجل هروذياس مره فيلبس اخوه لانه تزوجها,وان هرودس هو الذا ارسل فامسك يحنا فربطه وطرحه فا السجن منجل هروديا مره اخيه فليبس,88,81,81,88,84.5,46.590909090909086,46.590909090909086,60.946745562130175,73.65506921062476,0,0,0,0
8,Mark 6:18,24494,A,B,Arbache - Sinai ar. 72,Codex Sinaiticus Arabicus,لان يحنا كان يقول لهروذس بانه لا يحل لك ان تتخذ مره اخيك ❊,لان يوحنا كان يقول لهرودس انه ليس يحل لك ان تكن مره اخيك لك مره,لان يحنا كان يقول لهروذس بانه لا يحل لك ان تتخذ مره اخيك,لان يوحنا كان يقول لهرودس انه ليس يحل لك ان تكن مره اخيك لك مره,56,63,56,63,59.5,76.19047619047619,76.19047619047619,84.03361344537815,81.88359788359789,0,0,0,0
9,Mark 6:19,24495,A,B,Arbache - Sinai ar. 72,Codex Sinaiticus Arabicus,وان هروذياس حقدت عليه وكانت تريد قتله فلم تستطيع,فكانت هروديا تتواعده وكانت تطلب ان تقتله فلم تقدر,وان هروذياس حقدت عليه وكانت تريد قتله فلم تستطيع,فكانت هروديا تتواعده وكانت تطلب ان تقتله فلم تقدر,48,49,48,49,48.5,51.02040816326531,51.02040816326531,62.88659793814433,72.90532879818595,0,0,0,0
